iteration= 0
(W, 0, 0, d, 75):stay=[0.0]
(W, 0, 0, d, 100):stay=[0.0]
(W, 0, 0, r, 0):X=[0]
(W, 0, 0, r, 25):stay=[0.0]
(W, 0, 0, r, 50):stay=[0.0]
(W, 0, 0, r, 75):stay=[0.0]
(W, 0, 0, r, 100):stay=[0.0]
(W, 0, 1, d, 0):X=[0]
(W, 0, 1, d, 25):sa=[2.499999999999999]
(W, 0, 1, d, 50):stay=[0.0]
(W, 0, 1, d, 75):stay=[0.0]
(W, 0, 1, d, 100):stay=[0.0]
(W, 0, 1, r, 0):X=[0]
(W, 0, 1, r, 25):sa=[2.5]
(W, 0, 1, r, 50):stay=[0.0]
(W, 0, 1, r, 75):stay=[0.0]
(W, 0, 1, r, 100):stay=[0.0]
(W, 0, 2, d, 0):X=[0]
(W, 0, 2, d, 25):sa=[2.499999999999999]
(W, 0, 2, d, 50):stay=[0.0]
(W, 0, 2, d, 75):stay=[0.0]
(W, 0, 2, d, 100):stay=[0.0]
(W, 0, 2, r, 0):X=[0]
(W, 0, 2, r, 25):sa=[2.5]
(W, 0, 2, r, 50):stay=[0.0]
(W, 0, 2, r, 75):stay=[0.0]
(W, 0, 2, r, 100):stay=[0.0]
(W, 0, 3, d, 0):X=[0]
(W, 0, 3, d, 25):sa=[2.499999999999999]
(W, 0, 3, d, 50):stay=[0.0]
(W, 0, 3, d, 75):stay=[0.0]
(W, 0, 3, d, 100):stay=[0.0]
(W, 0, 3, r, 0):X=[0]
(W, 0, 3, r, 25):sa=[2.5]
(W, 0, 3, r, 50):stay=[0.0]
(W, 0, 3, r, 75):stay=[0.0]
(W, 0, 3, r, 100):stay=[0.0]
(W, 1, 0, d, 0):X=[0]
(W, 1, 0, d, 25):stay=[0.0]
(W, 1, 0, d, 50):stay=[0.0]
(W, 1, 0, d, 75):stay=[0.0]
(W, 1, 0, d, 100):stay=[0.0]
(W, 1, 0, r, 0):X=[0]
(W, 1, 0, r, 25):stay=[0.0]
(W, 1, 0, r, 50):stay=[0.0]
(W, 1, 0, r, 75):stay=[0.0]
(W, 1, 0, r, 100):stay=[0.0]
(W, 1, 1, d, 0):X=[0]
(W, 1, 1, d, 25):sa=[2.499999999999999]
(W, 1, 1, d, 50):stay=[0.0]
(W, 1, 1, d, 75):stay=[0.0]
(W, 1, 1, d, 100):stay=[0.0]
(W, 1, 1, r, 0):X=[0]
(W, 1, 1, r, 25):sa=[2.5]
(W, 1, 1, r, 50):stay=[0.0]
(W, 1, 1, r, 75):stay=[0.0]
(W, 1, 1, r, 100):stay=[0.0]
(W, 1, 2, d, 0):X=[0]
(W, 1, 2, d, 25):sa=[2.499999999999999]
(W, 1, 2, d, 50):stay=[0.0]
(W, 1, 2, d, 75):stay=[0.0]
(W, 1, 2, d, 100):stay=[0.0]
(W, 1, 2, r, 0):X=[0]
(W, 1, 2, r, 25):sa=[2.5]
(W, 1, 2, r, 50):stay=[0.0]
(W, 1, 2, r, 75):stay=[0.0]
(W, 1, 2, r, 100):stay=[0.0]
(W, 1, 3, d, 0):X=[0]
(W, 1, 3, d, 25):sa=[2.499999999999999]
(W, 1, 3, d, 50):stay=[0.0]
(W, 1, 3, d, 75):stay=[0.0]
(W, 1, 3, d, 100):stay=[0.0]
(W, 1, 3, r, 0):X=[0]
(W, 1, 3, r, 25):sa=[2.5]
(W, 1, 3, r, 50):stay=[0.0]
(W, 1, 3, r, 75):stay=[0.0]
(W, 1, 3, r, 100):stay=[0.0]
(W, 2, 0, d, 0):X=[0]
(W, 2, 0, d, 25):stay=[0.0]
(W, 2, 0, d, 50):stay=[0.0]
(W, 2, 0, d, 75):stay=[0.0]
(W, 2, 0, d, 100):stay=[0.0]
(W, 2, 0, r, 0):X=[0]
(W, 2, 0, r, 25):stay=[0.0]
(W, 2, 0, r, 50):stay=[0.0]
(W, 2, 0, r, 75):stay=[0.0]
(W, 2, 0, r, 100):stay=[0.0]
(W, 2, 1, d, 0):X=[0]
